OBJECTID,Bas0_ID,WXSOID,BASINNAME,ISLANDNAME,Window_C,System_CD,Sea_CD,ShorCD,Nb_catch,LevelC,SortC,ECRVers,CalcNum,WX02ID,NextDown_I,W1LinkD,W1LinkU,ExportVers,WX03ID,Is_BasS3,Is_Coast,Is_Anomaly,Is_Upstrea,Exutoire,ZHYD,SS,SB,B,ZG,FRBD,FRBD_BC,FSU,NextDown,Outlet,Ctry,Nuts2,ZU1,ZU2,DRAINPPAL,Code_Arbo,Surf,Surfc,Surffinal,LIbelle,Mean_Elev,Ild_EcrID,CTRY_,Shape_Leng,Shape_Area
"7030",W3X0001001,JSO1147644,,,"2009",X,"1",X0,"3","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0001001,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1147644,WCY_____MK,WNT_____MK,,,Z_G4093991,*,3.37000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____MK,10400.00000000000,3370000.00000000000
"7031",W3X0001101,JSO1087420,,,"2009",X,"1",X0,"6","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0001101,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1087420,WCY_____MK,WNT_____MK,,,Z_G4086371,*,2.10000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____MK,7400.00000000000,2100000.00000000000
"7032",W3X0001201,JSO1087265,,,"2009",X,"1",X0,"20","0","0","2","30",,,,,"2",,"0","1","0","1","-1",W3X0001201,WSS4340000,WSB0000455,WBX0_____C,,#Joker#,#Joker#,,,JSO1087265,WCY_____MK,WNT_____MK,,,Z_G4079352,*,7.07000000000,0.00000000000,0.00000000000,,0.00000000000,,WCY_____MK,19400.00000000000,7070000.00000000000
"86714",W3CC008200,,,,"0",C,"12204",CC,"14","0","0","2","30",J021064139,J021064362,J010106105,J010069349,"2",,"0","0","0","1","0",J021064139,WSS0359000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,J021064362,JSO1070064,WCY_____MK,WNT_____MK,,,Z_G2150334,J021065931121111121121122212111222212221111111111111,22.06000000000,0.00000000000,22.06000000000,,950.83934723500,,WCY_____MK,27400.00000000000,22060000.00000000000
"86723",W3X0000600,,,,"0",X,"1",X0,"13","0","0","2","30",J021066283,J021066243,J010016531,J010052916,"2",,"0","0","0","1","0",J021066283,WSS0354000,WSB0000455,WBX0_____C,,WFD0000101,WGD0000101,,J021066243,JSO1074114,WCY_____GR,WNT____GR1,,,Z_G3697704,J021066215221,50.31000000000,0.00000000000,50.31000000000,,1036.40540648000,,WCY_____GR,51600.00000000000,50310000.00000000000
"86724",W3X0000600,,,,"0",X,"1",X0,"5","0","0","2","30",J021066284,J021066243,J010016531,J010052917,"2",,"0","0","0","0","0",J021066284,WSS0354000,WSB0000455,WBX0_____C,,WFD0000101,WGD0000101,,J021066243,JSO1074114,WCY_____GR,WNT____GR1,,,Z_G3697701,J021066215222,12.57000000000,155.89000000000,168.46000000000,,915.51861575200,,WCY_____GR,33400.00000000000,12570000.00000000000
"88806",W3CC008200,,,,"0",C,"12204",CC,"5","0","0","2","30",J021060429,J031072816,J010069551,J010008209,"2",,"0","0","0","0","0",J021060429,WSS0360000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,J031072816,JSO1070064,WCY_____MK,WNT_____MK,,,Z_G2150064,J0210659311211111211212211211,45.13000000000,2832.58000000000,2877.71000000000,,395.88207400800,,WCY_____MK,41000.00000000000,45130000.00000000000
"86702",W3CC008200,,,,"0",C,"12204",CC,"1","0","0","2","30",J021060377,J021060631,J010089331,J010021283,"2",,"0","0","0","0","0",J021060377,WSS0358000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,J021060631,JSO1070064,WCY_____MK,WNT_____MK,,,Z_G2151132,J0210659311211111211212111221,10.46000000000,152.06000000000,162.52000000000,,364.90000000000,,WCY_____MK,27600.00000000000,10460000.00000000000
"86726",W3CC008500,,,,"0",C,"12204",CC,"3","0","0","2","30",J021066292,J021066312,J010051581,J010052189,"2",,"0","0","0","1","0",J021066292,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,J021066312,JSO1074138,WCY_____GR,WNT____GR1,,,Z_G3994872,J0210663121,7.85000000000,0.00000000000,7.85000000000,,321.32229299400,,WCY_____GR,22600.00000000000,7850000.00000000000
"86739",W3CC008500,,,,"0",C,"12204",CC,"1","0","0","2","30",J021066312,,,J010051581,"2",,"0","0","0","0","1",J021066312,WSS0361000,WSB0000057,WBCC_____C,,WFD0000102,WGD0000102,,,JSO1074138,WCY_____GR,WNT____GR1,,,Z_G3994871,J021066312,4.35000000000,43.67000000000,48.02000000000,,26.80000000000,,WCY_____GR,16000.00000000000,4350000.00000000000
