OBJECTID,osm_id,code,fclass,width,name,Shape_Leng
"1260","162179966","8101",river,"0",,3002.96639600000
"1261","162179967","8101",river,"0",,2081.04112466000
"1262","162179968","8101",river,"0",,456.70388017700
"1263","162179981","8101",river,"0",,1081.20204750000
"1264","162179987","8101",river,"0",,3010.89200452000
"1265","162180002","8101",river,"0",,1496.05067120000
"1266","162185606","8101",river,"0",,151.82716041600
"1267","162185609","8101",river,"0",,83.36404396080
"1268","162185615","8101",river,"0",,71.22608894960
"1269","162185618","8101",river,"0",,53.29764504590
"1270","162185619","8101",river,"0",,1159.66659584000
"1271","162185621","8101",river,"0",,845.42808801700
"1272","162185623","8101",river,"0",,1297.13127349000
"1273","162185624","8101",river,"0",,389.57921554100
"1274","162185625","8101",river,"0",,414.22805986000
"1275","162185634","8101",river,"0",,535.28777889700
"1276","162185645","8101",river,"0",,250.17326423200
"1277","162185646","8101",river,"0",,146.17276925500
"1278","162199927","8103",canal,"0",,13896.86320800000
"1279","162199929","8101",river,"0",,470.87884894800
"1280","162199931","8101",river,"0",,710.58119367800
"1281","162199957","8101",river,"0",Αξιός,79765.24223350000
"1282","162203735","8101",river,"0",,1098.50053186000
"1283","162203739","8101",river,"0",Λουδίας,3342.87287013000
"1284","162203743","8101",river,"0",Λουδίας,1991.22508017000
"1285","162203744","8101",river,"0",,2111.01482730000
"1286","162203746","8101",river,"0",,3485.45973812000
"1287","162203747","8101",river,"0",Λουδίας,3027.25490184000
"1288","162203748","8101",river,"0",Λουδίας,3833.03479195000
"1289","162203779","8101",river,"0",Megalo Potami,213.65516371800
"1290","162203783","8101",river,"0",Λουδίας,637.13916620100
"1291","162203786","8101",river,"0",Μογλενίτσας,1338.73515409000
"1292","162203789","8101",river,"50",Μογλενίτσας,3241.82030941000
"1293","162203790","8101",river,"0",Μογλενίτσας,2016.49531925000
"1294","162203791","8101",river,"0",Toplitsa,531.19476957000
"1295","162219735","8102",stream,"0",,38.63028418340
"1296","162219738","8101",river,"0",,1983.02633884000
"1297","162219760","8102",stream,"0",,179.52872626900
"1298","162246820","8104",drain,"0",,1292.00480832000
"1299","162246827","8103",canal,"0",,3603.19054186000
"1300","162246845","8104",drain,"0",,290.96502304800
"1301","162246860","8104",drain,"0",,1095.25187679000
"1302","162246867","8102",stream,"0",,2181.84221945000
"1303","162246888","8104",drain,"0",,1098.46789479000
"1304","162246889","8104",drain,"0",,617.47588597900
"1305","162246898","8104",drain,"0",,1559.52643172000
"1306","162246904","8103",canal,"0",,63.19790655150
"1307","162246911","8102",stream,"0",,4151.97097364000
"1308","162246915","8104",drain,"0",,4387.56293474000
"1309","162246927","8103",canal,"0",,1437.21999634000
"1310","162246928","8104",drain,"0",,1140.33455207000
"1311","162246940","8104",drain,"0",,2753.17217549000
"1312","162246948","8104",drain,"0",,1420.68589318000
"1313","162246961","8102",stream,"0",,1812.71322030000
"1314","162269560","8102",stream,"0",Περιφερειακή Τάφρος (Ρέμα Τούμπας),64.36352926240
"1315","162269562","8102",stream,"0",Περιφερειακή Τάφρος (Ρέμα Τούμπας),2352.49261935000
"1316","162363501","8102",stream,"0",Περιφερειακή Τάφρος (Ρέμα Τούμπας),97.96741281220
"1317","162363506","8102",stream,"0",Περιφερειακή Τάφρος (Ρέμα Τούμπας),96.97772210430
"1318","162550900","8102",stream,"0",Μύλος,648.16085697700
"1319","162550901","8102",stream,"0",Μύλος,130.96527694800
"1320","162802306","8102",stream,"0",,223.47289617400
"1321","162802374","8102",stream,"0",,6076.62531048000
"1322","162803854","8104",drain,"0",,64.31640446950
"1323","162803868","8104",drain,"0",,231.44830166300
"1324","162803929","8104",drain,"0",,219.50256186400
"1325","162803948","8104",drain,"0",,844.70051486400
"1326","162803955","8104",drain,"0",,153.09716472100
"1327","162803960","8104",drain,"0",,172.54951757200
"1328","162804005","8104",drain,"0",,33.33410702750
"1329","162804007","8104",drain,"0",,5.45554857521
"1330","162804011","8104",drain,"0",,17.84043213940
"1331","162804013","8104",drain,"0",,62.27008236970
"1332","162804014","8104",drain,"0",,18.21630919450
